destSlug,fieldPath,oldUrl,newUrl,confidence,provider,dryRun,appliedAt
manali,topPlaces[1].photos[1],https://images.pexels.com/photos/28680808/pexels-photo-28680808.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1616942986550-ea6469c08530?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8Mnx8U29sYW5nJTIwVmFsbGV5JTIwSGltYWNoYWwlMjBQcmFkZXNoJTIwSW5kaWF8ZW58MHwwfHx8MTc4NzA3NDQ0NXww&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:18:10.402Z
manali,topPlaces[1].photos[2],https://images.pexels.com/photos/38520177/pexels-photo-38520177.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1677821243506-0fa5cd8abdcb?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8M3x8U29sYW5nJTIwVmFsbGV5JTIwSGltYWNoYWwlMjBQcmFkZXNoJTIwSW5kaWF8ZW58MHwwfHx8MTc4NzA3NDQ0NXww&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:18:10.427Z
manali,topPlaces[2].image,https://images.pexels.com/photos/32690108/pexels-photo-32690108.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1655470062377-ef3f5161960a?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8MXx8SGFkaW1iYSUyMFRlbXBsZSUyMEhpbWFjaGFsJTIwUHJhZGVzaCUyMEluZGlhfGVufDB8MHx8fDE3ODcwNzQ0NDl8MA&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:18:12.619Z
manali,topPlaces[2].photos[1],https://images.pexels.com/photos/32437436/pexels-photo-32437436.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1655470062196-c37e923fc4c1?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8Mnx8SGFkaW1iYSUyMFRlbXBsZSUyMEhpbWFjaGFsJTIwUHJhZGVzaCUyMEluZGlhfGVufDB8MHx8fDE3ODcwNzQ0NDl8MA&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:18:12.643Z
manali,topPlaces[2].photos[2],https://images.pexels.com/photos/28933384/pexels-photo-28933384.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1670290339658-e246d3137229?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8M3x8SGFkaW1iYSUyMFRlbXBsZSUyMEhpbWFjaGFsJTIwUHJhZGVzaCUyMEluZGlhfGVufDB8MHx8fDE3ODcwNzQ0NDl8MA&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:18:12.667Z
manali,topPlaces[3].photos[1],https://images.pexels.com/photos/15119473/pexels-photo-15119473.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1628699543232-dc241b48a4b3?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8MXx8T2xkJTIwTWFuYWxpJTIwSGltYWNoYWwlMjBQcmFkZXNoJTIwSW5kaWF8ZW58MHwwfHx8MTc4NzA3NDQ1M3ww&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:18:15.108Z
manali,topPlaces[3].photos[2],https://images.pexels.com/photos/16172055/pexels-photo-16172055.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1652543393067-281cea9b8c02?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8Mnx8T2xkJTIwTWFuYWxpJTIwSGltYWNoYWwlMjBQcmFkZXNoJTIwSW5kaWF8ZW58MHwwfHx8MTc4NzA3NDQ1M3ww&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:18:15.851Z
manali,topPlaces[4].photos[0],https://images.pexels.com/photos/17094109/pexels-photo-17094109.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1731159017141-0abda40473df?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8MXx8TmFnZ2FyJTIwQ2FzdGxlJTIwSGltYWNoYWwlMjBQcmFkZXNoJTIwSW5kaWF8ZW58MHwwfHx8MTc4NzA3NzA5Nnww&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:18:17.972Z
manali,topPlaces[4].photos[1],https://images.pexels.com/photos/38992913/pexels-photo-38992913.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1731160705565-199f16ae4351?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8Mnx8TmFnZ2FyJTIwQ2FzdGxlJTIwSGltYWNoYWwlMjBQcmFkZXNoJTIwSW5kaWF8ZW58MHwwfHx8MTc4NzA3NzA5Nnww&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:18:19.372Z
manali,topPlaces[4].photos[2],https://images.pexels.com/photos/38549326/pexels-photo-38549326.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1731158961990-9359c01d443c?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8M3x8TmFnZ2FyJTIwQ2FzdGxlJTIwSGltYWNoYWwlMjBQcmFkZXNoJTIwSW5kaWF8ZW58MHwwfHx8MTc4NzA3NzA5Nnww&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:18:19.964Z
